code,ticker_code,name,market_product_category,source_date
2331,2331.T,ALSOK,プライム（内国株式）,2026-02-28
2332,2332.T,クエスト,スタンダード（内国株式）,2026-02-28
2335,2335.T,キューブシステム,プライム（内国株式）,2026-02-28
2337,2337.T,いちご,プライム（内国株式）,2026-02-28
2338,2338.T,クオンタムソリューションズ,スタンダード（内国株式）,2026-02-28
2340,2340.T,極楽湯ホールディングス,スタンダード（内国株式）,2026-02-28
2341,2341.T,アルバイトタイムス,スタンダード（内国株式）,2026-02-28
2342,2342.T,トランスジェニックグループ,スタンダード（内国株式）,2026-02-28
2344,2344.T,平安レイサービス,スタンダード（内国株式）,2026-02-28
2345,2345.T,HODL1,スタンダード（内国株式）,2026-02-28
2349,2349.T,エヌアイデイ,スタンダード（内国株式）,2026-02-28
2351,2351.T,ASJ,スタンダード（内国株式）,2026-02-28
2353,2353.T,日本駐車場開発,プライム（内国株式）,2026-02-28
2354,2354.T,YE DIGITAL,スタンダード（内国株式）,2026-02-28
2359,2359.T,コア,プライム（内国株式）,2026-02-28
2371,2371.T,カカクコム,プライム（内国株式）,2026-02-28
2373,2373.T,ケア21,スタンダード（内国株式）,2026-02-28
2374,2374.T,セントケア・ホールディング,プライム（内国株式）,2026-02-28
2375,2375.T,ギグワークス,スタンダード（内国株式）,2026-02-28
2376,2376.T,サイネックス,スタンダード（内国株式）,2026-02-28
2378,2378.T,ルネサンス,プライム（内国株式）,2026-02-28
2379,2379.T,ディップ,プライム（内国株式）,2026-02-28
2384,2384.T,SBSホールディングス,プライム（内国株式）,2026-02-28
2389,2389.T,デジタルホールディングス,プライム（内国株式）,2026-02-28
2391,2391.T,プラネット,スタンダード（内国株式）,2026-02-28
2393,2393.T,日本ケアサプライ,スタンダード（内国株式）,2026-02-28
2395,2395.T,新日本科学,プライム（内国株式）,2026-02-28
2404,2404.T,鉄人化ホールディングス,スタンダード（内国株式）,2026-02-28
2408,2408.T,KG情報,スタンダード（内国株式）,2026-02-28
2410,2410.T,キャリアデザインセンター,プライム（内国株式）,2026-02-28
2411,2411.T,ゲンダイエージェンシー,スタンダード（内国株式）,2026-02-28
2413,2413.T,エムスリー,プライム（内国株式）,2026-02-28
2415,2415.T,ヒューマンホールディングス,スタンダード（内国株式）,2026-02-28
2418,2418.T,ツカダ・グローバルホールディング,スタンダード（内国株式）,2026-02-28
2424,2424.T,ブラス,スタンダード（内国株式）,2026-02-28
2425,2425.T,ケアサービス,スタンダード（内国株式）,2026-02-28
2428,2428.T,ウェルネット,スタンダード（内国株式）,2026-02-28
2429,2429.T,ワールドホールディングス,プライム（内国株式）,2026-02-28
2432,2432.T,ディー・エヌ・エー,プライム（内国株式）,2026-02-28
2433,2433.T,博報堂DYホールディングス,プライム（内国株式）,2026-02-28
2435,2435.T,シダー,スタンダード（内国株式）,2026-02-28
2436,2436.T,共同ピーアール,スタンダード（内国株式）,2026-02-28
2437,2437.T,Shinwa Wise Holdings,スタンダード（内国株式）,2026-02-28
2440,2440.T,ぐるなび,スタンダード（内国株式）,2026-02-28
2445,2445.T,タカミヤ,プライム（内国株式）,2026-02-28
2449,2449.T,プラップジャパン,スタンダード（内国株式）,2026-02-28
2454,2454.T,オールアバウト,スタンダード（内国株式）,2026-02-28
2459,2459.T,アウンコンサルティング,スタンダード（内国株式）,2026-02-28
2461,2461.T,ファンコミュニケーションズ,プライム（内国株式）,2026-02-28
2462,2462.T,ライク,プライム（内国株式）,2026-02-28
2464,2464.T,Aoba‐BBT,スタンダード（内国株式）,2026-02-28
2469,2469.T,ヒビノ,スタンダード（内国株式）,2026-02-28
2471,2471.T,エスプール,プライム（内国株式）,2026-02-28
2475,2475.T,WDBホールディングス,プライム（内国株式）,2026-02-28
2477,2477.T,手間いらず,スタンダード（内国株式）,2026-02-28
2479,2479.T,ジェイテック,スタンダード（内国株式）,2026-02-28
2480,2480.T,システム・ロケーション,スタンダード（内国株式）,2026-02-28
2481,2481.T,タウンニュース社,スタンダード（内国株式）,2026-02-28
2483,2483.T,翻訳センター,スタンダード（内国株式）,2026-02-28
2484,2484.T,出前館,スタンダード（内国株式）,2026-02-28
2485,2485.T,ティア,スタンダード（内国株式）,2026-02-28
2488,2488.T,JTP,スタンダード（内国株式）,2026-02-28
2489,2489.T,アドウェイズ,スタンダード（内国株式）,2026-02-28
2491,2491.T,バリューコマース,プライム（内国株式）,2026-02-28
2492,2492.T,インフォマート,プライム（内国株式）,2026-02-28
2493,2493.T,イーサポートリンク,スタンダード（内国株式）,2026-02-28
2498,2498.T,オリエンタルコンサルタンツホールディングス,スタンダード（内国株式）,2026-02-28
2499,2499.T,日本和装ホールディングス,スタンダード（内国株式）,2026-02-28
2501,2501.T,サッポロホールディングス,プライム（内国株式）,2026-02-28
2502,2502.T,アサヒグループホールディングス,プライム（内国株式）,2026-02-28
2503,2503.T,キリンホールディングス,プライム（内国株式）,2026-02-28
250A,250A.T,シマダヤ,スタンダード（内国株式）,2026-02-28
2531,2531.T,宝ホールディングス,プライム（内国株式）,2026-02-28
2533,2533.T,オエノンホールディングス,プライム（内国株式）,2026-02-28
253A,253A.T,ETSグループ,スタンダード（内国株式）,2026-02-28
2540,2540.T,養命酒製造,プライム（内国株式）,2026-02-28
254A,254A.T,AIフュージョンキャピタルグループ,スタンダード（内国株式）,2026-02-28
255A,255A.T,ジーエルテクノホールディングス,スタンダード（内国株式）,2026-02-28
256A,256A.T,飛島ホールディングス,プライム（内国株式）,2026-02-28
2573,2573.T,北海道コカ・コーラボトリング,スタンダード（内国株式）,2026-02-28
2579,2579.T,コカ・コーラ ボトラーズジャパンホールディングス,プライム（内国株式）,2026-02-28
2585,2585.T,ライフドリンク カンパニー,プライム（内国株式）,2026-02-28
2587,2587.T,サントリー食品インターナショナル,プライム（内国株式）,2026-02-28
2588,2588.T,プレミアムウォーターホールディングス,スタンダード（内国株式）,2026-02-28
2590,2590.T,ダイドーグループホールディングス,プライム（内国株式）,2026-02-28
2593,2593.T,伊藤園,プライム（内国株式）,2026-02-28
25935,25935.T,伊藤園第1種優先株式,プライム（内国株式）,2026-02-28
2594,2594.T,キーコーヒー,プライム（内国株式）,2026-02-28
2597,2597.T,ユニカフェ,スタンダード（内国株式）,2026-02-28
2602,2602.T,日清オイリオグループ,プライム（内国株式）,2026-02-28
2607,2607.T,不二製油,プライム（内国株式）,2026-02-28
2612,2612.T,かどや製油,スタンダード（内国株式）,2026-02-28
2613,2613.T,J-オイルミルズ,プライム（内国株式）,2026-02-28
261A,261A.T,日水コン,スタンダード（内国株式）,2026-02-28
262A,262A.T,インターメスティック,プライム（内国株式）,2026-02-28
2652,2652.T,まんだらけ,スタンダード（内国株式）,2026-02-28
2653,2653.T,イオン九州,スタンダード（内国株式）,2026-02-28
2654,2654.T,アスモ,スタンダード（内国株式）,2026-02-28
2656,2656.T,ベクターホールディングス,スタンダード（内国株式）,2026-02-28
2659,2659.T,サンエー,プライム（内国株式）,2026-02-28
2664,2664.T,カワチ薬品,プライム（内国株式）,2026-02-28
2666,2666.T,オートウェーブ,スタンダード（内国株式）,2026-02-28
2667,2667.T,イメージ ワン,スタンダード（内国株式）,2026-02-28
2668,2668.T,タビオ,スタンダード（内国株式）,2026-02-28
2669,2669.T,カネ美食品,スタンダード（内国株式）,2026-02-28
2670,2670.T,エービーシー・マート,プライム（内国株式）,2026-02-28
2673,2673.T,夢みつけ隊,スタンダード（内国株式）,2026-02-28
2674,2674.T,ハードオフコーポレーション,プライム（内国株式）,2026-02-28
2676,2676.T,高千穂交易,プライム（内国株式）,2026-02-28
2678,2678.T,アスクル,プライム（内国株式）,2026-02-28
2681,2681.T,ゲオホールディングス,プライム（内国株式）,2026-02-28
2683,2683.T,魚喜,スタンダード（内国株式）,2026-02-28
2685,2685.T,アンドエスティHD,プライム（内国株式）,2026-02-28
2686,2686.T,ジーフット,スタンダード（内国株式）,2026-02-28
2687,2687.T,シー・ヴイ・エス・ベイエリア,スタンダード（内国株式）,2026-02-28
2689,2689.T,オルバヘルスケアホールディングス,スタンダード（内国株式）,2026-02-28
